user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,Tenure_Group,Usage_Group,Payment_Risk
1,"2023-04-15 00:00:00",Premium,699,1.1,4,1,8,14,Yes,"6-12 Months","Low Usage","No/Low Delay"
2,"2023-08-27 00:00:00",Premium,699,2.6,6,0,35,1,Yes,"1+ Year","Low Usage","No/Low Delay"
3,"2023-10-12 00:00:00",Premium,699,14.3,8,3,2,14,Yes,"0-6 Months","Medium Usage","High Delay"
4,"2023-12-11 00:00:00",Basic,199,17.6,5,2,11,9,Yes,"6-12 Months","High Usage","No/Low Delay"
5,"2023-02-14 00:00:00",Basic,199,9.8,5,2,6,38,Yes,"6-12 Months","Medium Usage","No/Low Delay"
6,"2024-10-05 00:00:00",Premium,699,13.6,6,0,30,35,Yes,"1+ Year","Medium Usage","No/Low Delay"
7,"2023-10-24 00:00:00",Premium,699,14.6,1,0,24,42,Yes,"1+ Year","Medium Usage","No/Low Delay"
8,"2024-01-09 00:00:00",Basic,199,21.7,6,2,15,29,Yes,"1+ Year","High Usage","No/Low Delay"
9,"2023-03-15 00:00:00",Basic,199,9.2,4,5,24,59,Yes,"1+ Year","Medium Usage","High Delay"
10,"2024-10-17 00:00:00",Premium,699,13.6,3,1,11,29,No,"6-12 Months","Medium Usage","No/Low Delay"
11,"2023-11-20 00:00:00",Premium,699,5.9,5,0,36,14,No,"1+ Year","Medium Usage","No/Low Delay"
12,"2024-10-20 00:00:00",Standard,399,2.1,5,1,18,41,Yes,"1+ Year","Low Usage","No/Low Delay"
13,"2024-08-21 00:00:00",Standard,399,7,3,5,10,35,Yes,"6-12 Months","Medium Usage","High Delay"
14,"2023-02-18 00:00:00",Standard,399,9.4,2,4,26,31,Yes,"1+ Year","Medium Usage","High Delay"
15,"2024-09-02 00:00:00",Basic,199,15.9,6,4,10,4,Yes,"6-12 Months","High Usage","High Delay"
16,"2024-11-29 00:00:00",Standard,399,6.7,8,0,34,43,No,"1+ Year","Medium Usage","No/Low Delay"
17,"2024-04-09 00:00:00",Premium,699,19.3,5,0,18,18,No,"1+ Year","High Usage","No/Low Delay"
18,"2024-10-02 00:00:00",Basic,199,24.3,2,4,17,58,Yes,"1+ Year","High Usage","High Delay"
19,"2024-06-27 00:00:00",Standard,399,15.4,2,2,33,48,Yes,"1+ Year","High Usage","No/Low Delay"
20,"2023-11-11 00:00:00",Basic,199,12.5,1,2,21,56,No,"1+ Year","Medium Usage","No/Low Delay"
21,"2023-03-12 00:00:00",Basic,199,6.4,1,0,4,46,No,"0-6 Months","Medium Usage","No/Low Delay"
22,"2024-09-13 00:00:00",Premium,699,3.6,7,4,9,10,Yes,"6-12 Months","Low Usage","High Delay"
23,"2024-11-18 00:00:00",Standard,399,23.3,3,5,14,19,No,"1+ Year","High Usage","High Delay"
24,"2023-03-07 00:00:00",Premium,699,11.2,8,3,24,7,Yes,"1+ Year","Medium Usage","High Delay"
25,"2024-12-25 00:00:00",Standard,399,14.9,3,4,2,14,Yes,"0-6 Months","Medium Usage","High Delay"
26,"2023-10-13 00:00:00",Premium,699,6.1,0,2,4,4,No,"0-6 Months","Medium Usage","No/Low Delay"
27,"2024-08-13 00:00:00",Premium,699,5.7,2,5,32,59,No,"1+ Year","Medium Usage","High Delay"
28,"2024-03-17 00:00:00",Standard,399,19.7,6,1,16,6,Yes,"1+ Year","High Usage","No/Low Delay"
29,"2023-04-11 00:00:00",Standard,399,10.6,0,5,28,41,No,"1+ Year","Medium Usage","High Delay"
30,"2024-04-04 00:00:00",Basic,199,18.3,1,1,26,12,No,"1+ Year","High Usage","No/Low Delay"
31,"2024-03-29 00:00:00",Basic,199,5,7,1,28,55,No,"1+ Year","Medium Usage","No/Low Delay"
32,"2023-08-31 00:00:00",Premium,699,1.7,8,0,7,5,No,"6-12 Months","Low Usage","No/Low Delay"
